"","mouse","human"
"2440","Cck","CCK"
"2441","Cckar","CCKAR"
"2442","Cckbr","CCKBR"
"2443","Ccl1","CCL1"
"2444","Ccl11","CCL11"
"2445","Ccl2","CCL13"
"2446","Ccl17","CCL17"
"2447","Ccl19","CCL19"
"2448","Ccl2","CCL2"
"2449","Ccl20","CCL20"
"2450","Ccl21a","CCL21"
"2451","Ccl21b","CCL21"
"2452","Gm10591","CCL21"
"2453","Gm13304","CCL21"
"2454","Gm21541","CCL21"
"2455","Ccl22","CCL22"
"2456","Ccl24","CCL24"
"2457","Ccl25","CCL25"
"2458","Ccl26","CCL26"
"2459","Ccl27a","CCL27"
"2460","Ccl27b","CCL27"
"2461","Gm13306","CCL27"
"2462","Ccl28","CCL28"
"2463","Ccl3","CCL3"
"2464","Ccl3","CCL3L3"
"2465","Ccl4","CCL4"
"2466","Ccl5","CCL5"
"2467","Ccl7","CCL7"
"2468","Ccm2","CCM2"
"2469","Ccm2l","CCM2L"
"2470","Ccna1","CCNA1"
"2471","Ccna2","CCNA2"
"2472","Ccnb1","CCNB1"
"2473","Ccnb1ip1","CCNB1IP1"
"2474","Ccnb2","CCNB2"
"2475","Ccnb3","CCNB3"
"2476","Ccnc","CCNC"
"2477","Ccnd1","CCND1"
"2478","Ccnd2","CCND2"
"2479","Ccnd3","CCND3"
"2480","Ccndbp1","CCNDBP1"
"2481","Ccne1","CCNE1"
"2482","Ccne2","CCNE2"
"2483","Ccnf","CCNF"
"2484","Ccng1","CCNG1"
"2485","Ccng2","CCNG2"
"2486","Ccnh","CCNH"
"2487","Ccni","CCNI"
"2488","Ccnj","CCNJ"
"2489","Ccnjl","CCNJL"
"2490","Ccnk","CCNK"
"2491","Ccnl1","CCNL1"
"2492","Ccnl2","CCNL2"
"2493","Ccno","CCNO"
"2494","Fam58b","CCNQ"
"2495","Ccnt1","CCNT1"
"2496","Ccnt2","CCNT2"
"2497","Ccny","CCNY"
"2498","Ccnyl1","CCNYL1"
"2499","Ccp110","CCP110"
"2500","Ccpg1","CCPG1"
"2501","Ccr1","CCR1"
"2502","Ccr10","CCR10"
"2503","Ccr2","CCR2"
"2504","Ccr3","CCR3"
"2505","Ccr4","CCR4"
"2506","Ccr5","CCR5"
"2507","Ccr6","CCR6"
"2508","Ccr7","CCR7"
"2509","Ccr8","CCR8"
"2510","Ccr9","CCR9"
"2511","Ccrl2","CCRL2"
"2512","Ccs","CCS"
"2513","Ccsap","CCSAP"
"2514","Ccser1","CCSER1"
"2515","Ccser2","CCSER2"
"2516","Cct2","CCT2"
"2517","Cct3","CCT3"
"2518","Cct4","CCT4"
"2519","Cct5","CCT5"
"2520","Cct6a","CCT6A"
"2521","Cct6b","CCT6B"
"2522","Cct7","CCT7"
"2523","Cct8","CCT8"
"2524","Cct8l1","CCT8L2"
"2525","Ccz1","CCZ1"
"2526","Ccz1","CCZ1B"
"2527","Cd101","CD101"
"2528","Cd109","CD109"
"2529","Cd14","CD14"
"2530","Cd151","CD151"
"2531","Cd160","CD160"
"2532","Cd163","CD163"
"2533","Cd164","CD164"
"2534","Cd164l2","CD164L2"
"2535","Cd177","CD177"
"2536","Cd180","CD180"
"2537","Cd19","CD19"
"2538","Cd1d1","CD1D"
"2539","Cd2","CD2"
"2540","Cd200","CD200"
"2541","Cd200r1","CD200R1"
"2542","Cd200r2","CD200R1"
"2543","Cd200r3","CD200R1"
"2544","Cd200r4","CD200R1"
"2545","Cd200r1","CD200R1L"
"2546","Cd200r2","CD200R1L"
"2547","Cd200r3","CD200R1L"
"2548","Cd200r4","CD200R1L"
"2549","Cd207","CD207"
"2550","Cd209a","CD209"
"2551","Cd209b","CD209"
"2552","Cd209c","CD209"
"2553","Cd209d","CD209"
"2554","Cd209e","CD209"
"2555","Cd22","CD22"
"2556","Cd226","CD226"
"2557","Cd24a","CD24"
"2558","Cd244a","CD244"
"2559","Cd247","CD247"
"2560","Cd248","CD248"
"2561","Cd27","CD27"
"2562","Cd274","CD274"
"2563","Cd276","CD276"
"2564","Cd28","CD28"
"2565","Cd2ap","CD2AP"
"2566","Cd2bp2","CD2BP2"
"2567","Cd300a","CD300A"
"2568","Cd300c","CD300C"
"2569","Cd300c2","CD300C"
"2570","Cd300e","CD300E"
"2571","Cd300lb","CD300LB"
"2572","Cd300ld","CD300LD"
"2573","Cd300ld3","CD300LD"
"2574","Cd300ld4","CD300LD"
"2575","Cd300ld5","CD300LD"
"2576","Cd300lf","CD300LF"
"2577","Cd300lg","CD300LG"
"2578","Cd302","CD302"
"2579","Cd320","CD320"
"2580","Cd33","CD33"
"2581","Cd34","CD34"
"2582","Cd36","CD36"
"2583","Cd37","CD37"
"2584","Cd38","CD38"
"2585","Cd3d","CD3D"
"2586","Cd3e","CD3E"
"2587","Cd3eap","CD3EAP"
"2588","Cd3g","CD3G"
"2589","Cd4","CD4"
"2590","Cd40","CD40"
"2591","Cd40lg","CD40LG"
"2592","Cd44","CD44"
"2593","Cd46","CD46"
"2594","Cd47","CD47"
"2595","Cd48","CD48"
"2596","Cd5","CD5"
"2597","Cd52","CD52"
"2598","Cd53","CD53"
"2599","Cd55","CD55"
"2600","Cd55b","CD55"
"2601","Cd59b","CD59"
"2602","Cd5l","CD5L"
"2603","Cd6","CD6"
"2604","Cd63","CD63"
"2605","Cd68","CD68"
"2606","Cd69","CD69"
"2607","Cd7","CD7"
"2608","Cd70","CD70"
"2609","Cd72","CD72"
"2610","Cd74","CD74"
"2611","Cd79a","CD79A"
"2612","Cd79b","CD79B"
"2613","Cd80","CD80"
"2614","Cd81","CD81"
"2615","Cd82","CD82"
"2616","Cd83","CD83"
"2617","Cd84","CD84"
"2618","Cd86","CD86"
"2619","Cd8a","CD8A"
"2620","Cd8b1","CD8B"
"2621","Cd9","CD9"
"2622","Cd93","CD93"
"2623","Cd96","CD96"
"2624","Cd99l2","CD99L2"
"2625","Cda","CDA"
"2626","Cdadc1","CDADC1"
"2627","Cdan1","CDAN1"
"2628","Cdc123","CDC123"
"2629","Cdc14a","CDC14A"
"2630","Cdc14b","CDC14B"
"2631","Cdc16","CDC16"
"2632","Cdc20","CDC20"
"2633","Cdc20b","CDC20B"
"2634","Cdc23","CDC23"
"2635","Cdc25a","CDC25A"
"2636","Cdc25b","CDC25B"
"2637","Cdc25c","CDC25C"
"2638","Cdc26","CDC26"
"2639","Cdc27","CDC27"
"2640","Cdc34","CDC34"
"2641","Cdc37","CDC37"
"2642","Cdc37l1","CDC37L1"
"2643","Cdc40","CDC40"
"2644","Cdc42","CDC42"
"2645","Cdc42bpa","CDC42BPA"
"2646","Cdc42bpb","CDC42BPB"
"2647","Cdc42bpg","CDC42BPG"
"2648","Cdc42ep1","CDC42EP1"
"2649","Cdc42ep2","CDC42EP2"
"2650","Cdc42ep3","CDC42EP3"
"2651","Cdc42ep4","CDC42EP4"
"2652","Cdc42ep5","CDC42EP5"
"2653","Cdc42se1","CDC42SE1"
"2654","Cdc42se2","CDC42SE2"
"2655","Cdc45","CDC45"
"2656","Cdc5l","CDC5L"
"2657","Cdc6","CDC6"
"2658","Cdc7","CDC7"
"2659","Cdc73","CDC73"
"2660","Cdca2","CDCA2"
"2661","Cdca3","CDCA3"
"2662","Cdca4","CDCA4"
"2663","Cdca5","CDCA5"
"2664","Cdca7","CDCA7"
"2665","Cdca7l","CDCA7L"
"2666","Cdca8","CDCA8"
"2667","Cdcp1","CDCP1"
"2668","Cdcp2","CDCP2"
"2669","Cdh1","CDH1"
"2670","Cdh10","CDH10"
"2671","Cdh11","CDH11"
"2672","Cdh12","CDH12"
"2673","Cdh13","CDH13"
"2674","Cdh15","CDH15"
"2675","Cdh16","CDH16"
"2676","Cdh17","CDH17"
"2677","Cdh18","CDH18"
"2678","Cdh19","CDH19"
"2679","Cdh2","CDH2"
"2680","Cdh20","CDH20"
"2681","Cdh22","CDH22"
"2682","Cdh23","CDH23"
"2683","Cdh24","CDH24"
"2684","Cdh26","CDH26"
"2685","Cdh3","CDH3"
"2686","Cdh4","CDH4"
"2687","Cdh5","CDH5"
"2688","Cdh6","CDH6"
"2689","Cdh7","CDH7"
"2690","Cdh8","CDH8"
"2691","Cdh9","CDH9"
"2692","Cdhr1","CDHR1"
"2693","Cdhr2","CDHR2"
"2694","Cdhr3","CDHR3"
"2695","Cdhr4","CDHR4"
"2696","Cdhr5","CDHR5"
"2697","Cdip1","CDIP1"
"2698","Cdipt","CDIPT"
"2699","Cdiptos","CDIPTOSP"
"2700","Cdk1","CDK1"
"2701","Cdk10","CDK10"
"2702","Cdk11b","CDK11A"
"2703","Cdk11b","CDK11B"
"2704","Cdk12","CDK12"
"2705","Cdk13","CDK13"
"2706","Cdk14","CDK14"
"2707","Cdk15","CDK15"
"2708","Cdk16","CDK16"
"2709","Cdk17","CDK17"
"2710","Cdk18","CDK18"
"2711","Cdk19","CDK19"
"2712","Cdk2","CDK2"
"2713","Cdk20","CDK20"
"2714","Cdk2ap1","CDK2AP1"
"2715","Cdk2ap2","CDK2AP2"
"2716","Cdk3-ps","CDK3"
"2717","Cdk4","CDK4"
"2718","Cdk5","CDK5"
"2719","Cdk5r1","CDK5R1"
"2720","Cdk5r2","CDK5R2"
"2721","Cdk5rap1","CDK5RAP1"
"2722","Cdk5rap2","CDK5RAP2"
"2723","Cdk5rap3","CDK5RAP3"
"2724","Cdk6","CDK6"
"2725","Cdk7","CDK7"
"2726","Cdk8","CDK8"
"2727","Cdk9","CDK9"
"2728","Cdkal1","CDKAL1"
"2729","Cdkl1","CDKL1"
"2730","Cdkl2","CDKL2"
"2731","Cdkl3","CDKL3"
"2732","Cdkl4","CDKL4"
"2733","Cdkl5","CDKL5"
"2734","Cdkn1a","CDKN1A"
"2735","Cdkn1b","CDKN1B"
"2736","Cdkn1c","CDKN1C"
"2737","Cdkn2a","CDKN2A"
"2738","Cdkn2aip","CDKN2AIP"
"2739","Cdkn2aipnl","CDKN2AIPNL"
"2740","Cdkn2b","CDKN2B"
"2741","Cdkn2c","CDKN2C"
"2742","Cdkn2d","CDKN2D"
"2743","Cdkn3","CDKN3"
"2744","Cdnf","CDNF"
"2745","Cdo1","CDO1"
"2746","Cdon","CDON"
"2747","Cdpf1","CDPF1"
"2748","Cdr2","CDR2"
"2749","Cdr2l","CDR2L"
"2750","Fbxw10","CDRT1"
"2751","Cdrt4","CDRT4"
"2752","Cds1","CDS1"
"2753","Cds2","CDS2"
"2754","Cdsn","CDSN"
"2755","Cdt1","CDT1"
"2756","Cdv3","CDV3"
"2757","Cdx1","CDX1"
"2758","Cdx2","CDX2"
"2759","Cdx4","CDX4"
"2760","Cdyl","CDYL"
"2761","Cdyl2","CDYL2"
"2762","Ceacam1","CEACAM1"
"2763","Ceacam2","CEACAM1"
"2764","Ceacam16","CEACAM16"
"2765","Ceacam18","CEACAM18"
"2766","Ceacam19","CEACAM19"
"2767","Ceacam20","CEACAM20"
"2768","Cebpa","CEBPA"
"2769","Cebpb","CEBPB"
"2770","Cebpd","CEBPD"
"2771","Cebpe","CEBPE"
"2772","Cebpg","CEBPG"
"2773","Cebpz","CEBPZ"
"2774","Cebpzos","CEBPZOS"
"2775","Cecr2","CECR2"
"2776","Cel","CEL"
"2777","Cela1","CELA1"
"2778","Cela2a","CELA2A"
"2779","Cela3a","CELA3A"
"2780","Cela3b","CELA3A"
"2781","Cela3a","CELA3B"
"2782","Cela3b","CELA3B"
"2783","Celf1","CELF1"
"2784","Celf2","CELF2"
"2785","Celf3","CELF3"
"2786","Celf4","CELF4"
"2787","Celf5","CELF5"
"2788","Celf6","CELF6"
"2789","Celsr1","CELSR1"
"2790","Celsr2","CELSR2"
"2791","Celsr3","CELSR3"
"2792","Cemip","CEMIP"
"2793","Tmem2","CEMIP2"
"2794","Cend1","CEND1"
"2795","Cenpa","CENPA"
"2796","Cenpb","CENPB"
"2797","Cenpc1","CENPC"
"2798","Cenpe","CENPE"
"2799","Cenpf","CENPF"
"2800","Cenph","CENPH"
"2801","Cenpi","CENPI"
"2802","Cenpj","CENPJ"
"2803","Cenpk","CENPK"
"2804","Cenpl","CENPL"
"2805","Cenpm","CENPM"
"2806","Cenpn","CENPN"
"2807","Cenpo","CENPO"
"2808","Cenpp","CENPP"
"2809","Cenpq","CENPQ"
"2810","Cenps","CENPS"
"2811","Cenps","CENPS-CORT"
"2812","Cenpt","CENPT"
"2813","Cenpu","CENPU"
"2814","Cenpv","CENPV"
"2815","Cenpw","CENPW"
"2816","Cenpx","CENPX"
"2817","Cep104","CEP104"
"2818","Cep112","CEP112"
"2819","Cep120","CEP120"
"2820","Cep126","CEP126"
"2821","Cep128","CEP128"
"2822","Cep131","CEP131"
"2823","Cep135","CEP135"
"2824","Cep152","CEP152"
"2825","Cep162","CEP162"
"2826","Cep164","CEP164"
"2827","Cep170","CEP170"
"2828","Cep170b","CEP170B"
"2829","Cep19","CEP19"
"2830","Cep192","CEP192"
"2831","Cep250","CEP250"
"2832","Cep290","CEP290"
"2833","Cep295","CEP295"
"2834","Cep295nl","CEP295NL"
"2835","Cep350","CEP350"
"2836","Cep41","CEP41"
"2837","Cep44","CEP44"
"2838","Cep55","CEP55"
"2839","Cep57","CEP57"
"2840","Cep57l1","CEP57L1"
"2841","Cep63","CEP63"
"2842","Cep68","CEP68"
"2843","Cep70","CEP70"
"2844","Cep72","CEP72"
"2845","Cep76","CEP76"
"2846","Cep78","CEP78"
"2847","Cep83","CEP83"
"2848","Cep85","CEP85"
"2849","Cep85l","CEP85L"
"2850","Cep89","CEP89"
"2851","Cep95","CEP95"
"2852","Cep97","CEP97"
"2853","Cept1","CEPT1"
"2854","Cer1","CER1"
"2855","Cercam","CERCAM"
"2856","Cerk","CERK"
"2857","Cerkl","CERKL"
"2858","Cers1","CERS1"
"2859","Cers2","CERS2"
"2860","Cers3","CERS3"
"2861","Cers4","CERS4"
"2862","Cers5","CERS5"
"2863","Cers6","CERS6"
"2864","Ces1a","CES1"
"2865","Ces1b","CES1"
"2866","Ces1c","CES1"
"2867","Ces1d","CES1"
"2868","Ces1e","CES1"
"2869","Ces1f","CES1"
"2870","Ces1g","CES1"
"2871","Ces1h","CES1"
"2872","Ces2a","CES2"
"2873","Ces2b","CES2"
"2874","Ces2c","CES2"
"2875","Ces2e","CES2"
"2876","Ces2f","CES2"
"2877","Ces2g","CES2"
"2878","Ces2h","CES2"
"2879","Ces3a","CES3"
"2880","Ces3b","CES3"
"2881","Ces4a","CES4A"
"2882","Ces5a","CES5A"
"2883","Cetn1","CETN1"
"2884","Cetn2","CETN2"
"2885","Cetn3","CETN3"
"2886","Cetn4","CETN4P"
"2887","Cfap100","CFAP100"
"2888","Cfap126","CFAP126"
"2889","Cfap157","CFAP157"
"2890","Cfap161","CFAP161"
"2891","Cfap20","CFAP20"
"2892","Cfap206","CFAP206"
"2893","Cfap221","CFAP221"
"2894","Cfap298","CFAP298"
"2895","Cfap299","CFAP299"
"2896","Cfap300","CFAP300"
"2897","Cfap36","CFAP36"
"2898","Cfap43","CFAP43"
"2899","Cfap44","CFAP44"
"2900","Cfap45","CFAP45"
"2901","Cfap46","CFAP46"
"2902","Cfap47","CFAP47"
"2903","Cfap52","CFAP52"
"2904","Cfap53","CFAP53"
"2905","Cfap54","CFAP54"
"2906","Cfap57","CFAP57"
"2907","Cfap58","CFAP58"
"2908","Cfap61","CFAP61"
"2909","Cfap65","CFAP65"
"2910","Cfap69","CFAP69"
"2911","Cfap70","CFAP70"
"2912","Cfap73","CFAP73"
"2913","Cfap74","CFAP74"
"2914","Cfap77","CFAP77"
"2915","Cfap97","CFAP97"
"2916","Cfap97d1","CFAP97D1"
"2917","Cfap97d2","CFAP97D2"
"2918","Cfap99","CFAP99"
"2919","Cfb","CFB"
"2920","Cfc1","CFC1"
"2921","Cfc1","CFC1B"
"2922","Cfd","CFD"
"2923","Cfdp1","CFDP1"
"2924","Cfh","CFH"
"2925","Cfhr1","CFHR1"
"2926","Cfi","CFI"
"2927","Cfl1","CFL1"
"2928","Cfl2","CFL2"
"2929","Cflar","CFLAR"
"2930","Cfm1","CFM1"
"2931","Cfp","CFP"
"2932","Cftr","CFTR"
"2933","Cga","CGA"
"2934","Mb21d1","CGAS"
"2935","Cggbp1","CGGBP1"
"2936","Cgn","CGN"
"2937","Cgnl1","CGNL1"
"2938","Cgref1","CGREF1"
"2939","Cgrrf1","CGRRF1"
"2940","Ch25h","CH25H"
"2941","Chac1","CHAC1"
"2942","Chac2","CHAC2"
"2943","Chad","CHAD"
"2944","Chadl","CHADL"
"2945","Chaf1a","CHAF1A"
"2946","Chaf1b","CHAF1B"
"2947","Champ1","CHAMP1"
"2948","Chat","CHAT"
"2949","Chchd1","CHCHD1"
"2950","Chchd10","CHCHD10"
"2951","Chchd2","CHCHD2"
"2952","Chchd3","CHCHD3"
"2953","Chchd4","CHCHD4"
"2954","Chchd5","CHCHD5"
"2955","Chchd6","CHCHD6"
"2956","Chchd7","CHCHD7"
"2957","Chd1","CHD1"
"2958","Chd1l","CHD1L"
"2959","Chd2","CHD2"
"2960","Chd3","CHD3"
"2961","Chd4","CHD4"
"2962","Chd5","CHD5"
"2963","Chd6","CHD6"
"2964","Chd7","CHD7"
"2965","Chd8","CHD8"
"2966","Chd9","CHD9"
"2967","Chdh","CHDH"
"2968","Chek1","CHEK1"
"2969","Chek2","CHEK2"
"2970","Cherp","CHERP"
"2971","Chfr","CHFR"
"2972","Chga","CHGA"
"2973","Chgb","CHGB"
"2974","Chil1","CHI3L1"
"2975","Chia1","CHIA"
"2976","Chic1","CHIC1"
"2977","Chic2","CHIC2"
"2978","Chid1","CHID1"
"2979","Chit1","CHIT1"
"2980","Chka","CHKA"
"2981","Chkb","CHKB"
"2982","Chl1","CHL1"
"2983","Chm","CHM"
"2984","Chml","CHML"
"2985","Chmp1a","CHMP1A"
"2986","Chmp1b","CHMP1B"
"2987","2610002M06Rik","CHMP1B2P"
"2988","Chmp2a","CHMP2A"
"2989","Chmp2b","CHMP2B"
"2990","Chmp3","CHMP3"
"2991","Chmp4b","CHMP4B"
"2992","Chmp4c","CHMP4C"
"2993","Chmp5","CHMP5"
"2994","Chmp6","CHMP6"
"2995","Chmp7","CHMP7"
"2996","Chn1","CHN1"
"2997","Chn2","CHN2"
"2998","Chodl","CHODL"
"2999","Chordc1","CHORDC1"
"3000","Chp1","CHP1"
"3001","Chp2","CHP2"
"3002","Chpf","CHPF"
"3003","Chpf2","CHPF2"
"3004","Chpt1","CHPT1"
"3005","Chrac1","CHRAC1"
"3006","Chrd","CHRD"
"3007","Chrdl1","CHRDL1"
"3008","Chrdl2","CHRDL2"
"3009","Chrm1","CHRM1"
"3010","Chrm2","CHRM2"
"3011","Chrm3","CHRM3"
"3012","Chrm4","CHRM4"
"3013","Chrm5","CHRM5"
"3014","Chrna1","CHRNA1"
"3015","Chrna10","CHRNA10"
"3016","Chrna2","CHRNA2"
"3017","Chrna3","CHRNA3"
"3018","Chrna4","CHRNA4"
"3019","Chrna5","CHRNA5"
"3020","Chrna6","CHRNA6"
"3021","Chrna7","CHRNA7"
"3022","Chrna9","CHRNA9"
"3023","Chrnb1","CHRNB1"
"3024","Chrnb2","CHRNB2"
"3025","Chrnb3","CHRNB3"
"3026","Chrnb4","CHRNB4"
"3027","Chrnd","CHRND"
"3028","Chrne","CHRNE"
"3029","Chrng","CHRNG"
"3030","Chst1","CHST1"
"3031","Chst10","CHST10"
"3032","Chst11","CHST11"
"3033","Chst12","CHST12"
"3034","Chst13","CHST13"
"3035","Chst14","CHST14"
"3036","Chst15","CHST15"
"3037","Chst2","CHST2"
"3038","Chst3","CHST3"
"3039","Chst4","CHST4"
"3040","Chst5","CHST5"
"3041","Chst5","CHST6"
"3042","Chst7","CHST7"
"3043","Chst8","CHST8"
"3044","Chst9","CHST9"
"3045","Chsy1","CHSY1"
"3046","Chsy3","CHSY3"
"3047","Chtf18","CHTF18"
"3048","Chtf8","CHTF8"
"3049","Chtop","CHTOP"
"3050","Chuk","CHUK"
"3051","Churc1","CHURC1"
"3052","Ciao1","CIAO1"
"3053","Fam96a","CIAO2A"
"3054","Fam96b","CIAO2B"
"3055","Narfl","CIAO3"
"3056","Ciapin1","CIAPIN1"
"3057","Ciart","CIART"
"3058","Cib1","CIB1"
"3059","Cib2","CIB2"
"3060","Cib3","CIB3"
"3061","Cib4","CIB4"
"3062","Cic","CIC"
"3063","Cidea","CIDEA"
"3064","Cideb","CIDEB"
"3065","Cidec","CIDEC"
"3066","Ciita","CIITA"
"3067","Cilp","CILP"
"3068","Cilp2","CILP2"
"3069","Cinp","CINP"
"3070","Cip2a","CIP2A"
"3071","Cipc","CIPC"
"3072","Cir1","CIR1"
"3073","Cirbp","CIRBP"
"3074","Cisd1","CISD1"
"3075","Cisd2","CISD2"
"3076","Cisd3","CISD3"
"3077","Cish","CISH"
"3078","Cit","CIT"
"3079","Cited1","CITED1"
"3080","Cited2","CITED2"
"3081","Cited4","CITED4"
"3082","Ciz1","CIZ1"
"3083","Ckap2","CKAP2"
"3084","Ckap2l","CKAP2L"
"3085","Ckap4","CKAP4"
"3086","Ckap5","CKAP5"
"3087","Ckb","CKB"
"3088","Cklf","CKLF"
"3089","Ckm","CKM"
"3090","Ckmt1","CKMT1A"
"3091","Ckmt1","CKMT1B"
"3092","Ckmt2","CKMT2"
"3093","Cks1b","CKS1B"
"3094","Cks2","CKS2"
"3095","Clasp1","CLASP1"
"3096","Clasp2","CLASP2"
"3097","Clasrp","CLASRP"
"3098","Clba1","CLBA1"
"3099","Clca1","CLCA1"
"3100","Clca2","CLCA2"
"3101","Clca4a","CLCA4"
"3102","Clca4b","CLCA4"
"3103","Clcc1","CLCC1"
"3104","Clcf1","CLCF1"
"3105","Clcn1","CLCN1"
"3106","Clcn2","CLCN2"
"3107","Clcn3","CLCN3"
"3108","Clcn4","CLCN4"
"3109","Clcn5","CLCN5"
"3110","Clcn6","CLCN6"
"3111","Clcn7","CLCN7"
"3112","Clcnka","CLCNKA"
"3113","Clcnkb","CLCNKA"
"3114","Clcnka","CLCNKB"
"3115","Clcnkb","CLCNKB"
"3116","Cldn1","CLDN1"
"3117","Cldn10","CLDN10"
"3118","Cldn11","CLDN11"
"3119","Cldn12","CLDN12"
"3120","Cldn14","CLDN14"
"3121","Cldn15","CLDN15"
"3122","Cldn16","CLDN16"
"3123","Cldn17","CLDN17"
"3124","Cldn18","CLDN18"
"3125","Cldn19","CLDN19"
"3126","Cldn2","CLDN2"
"3127","Cldn20","CLDN20"
"3128","Cldn22","CLDN22"
"3129","Cldn23","CLDN23"
"3130","Cldn24","CLDN24"
"3131","Cldn25-ps","CLDN25"
"3132","Cldn3","CLDN3"
"3133","Cldn34-ps","CLDN34"
"3134","Cldn4","CLDN4"
"3135","Cldn5","CLDN5"
"3136","Cldn6","CLDN6"
"3137","Cldn7","CLDN7"
"3138","Cldn8","CLDN8"
"3139","Cldn9","CLDN9"
"3140","Cldnd1","CLDND1"
"3141","Cldnd2","CLDND2"
"3142","Clec10a","CLEC10A"
"3143","Mgl2","CLEC10A"
"3144","Clec11a","CLEC11A"
"3145","Clec12a","CLEC12A"
"3146","Clec12b","CLEC12B"
"3147","Clec14a","CLEC14A"
"3148","Clec16a","CLEC16A"
"3149","Clec18a","CLEC18A"
"3150","Clec18a","CLEC18B"
"3151","Clec18a","CLEC18C"
"3152","Clec1a","CLEC1A"
"3153","Clec1b","CLEC1B"
"3154","Clec2f","CLEC2A"
"3155","Clec2l","CLEC2L"
"3156","Clec3a","CLEC3A"
"3157","Clec3b","CLEC3B"
"3158","Clec4a2","CLEC4A"
"3159","Clec4b1","CLEC4C"
"3160","Clec4d","CLEC4D"
"3161","Clec4e","CLEC4E"
"3162","Clec4f","CLEC4F"
"3163","Clec4g","CLEC4G"
"3164","Cd209a","CLEC4M"
"3165","Cd209b","CLEC4M"
"3166","Cd209c","CLEC4M"
"3167","Cd209d","CLEC4M"
"3168","Cd209e","CLEC4M"
"3169","Clec5a","CLEC5A"
"3170","Clec4n","CLEC6A"
"3171","Clec7a","CLEC7A"
"3172","Clec9a","CLEC9A"
"3173","Clgn","CLGN"
"3174","Clhc1","CLHC1"
"3175","Clic1","CLIC1"
"3176","Clic3","CLIC3"
"3177","Clic4","CLIC4"
"3178","Clic5","CLIC5"
"3179","Clic6","CLIC6"
"3180","Clint1","CLINT1"
"3181","Clip1","CLIP1"
"3182","Clip2","CLIP2"
"3183","Clip3","CLIP3"
"3184","Clip4","CLIP4"
"3185","Clk1","CLK1"
"3186","Clk2","CLK2"
"3187","Clk3","CLK3"
"3188","Clk4","CLK4"
"3189","Clmn","CLMN"
"3190","Clmp","CLMP"
"3191","Cln3","CLN3"
"3192","Cln5","CLN5"
"3193","Cln6","CLN6"
"3194","Cln8","CLN8"
"3195","Clnk","CLNK"
"3196","Clns1a","CLNS1A"
"3197","Clock","CLOCK"
"3198","Clp1","CLP1"
"3199","Clpb","CLPB"
"3200","Clpp","CLPP"
"3201","Clps","CLPS"
"3202","Clpsl2","CLPSL2"
"3203","Clptm1","CLPTM1"
"3204","Clptm1l","CLPTM1L"
"3205","Clpx","CLPX"
"3206","Clrn1","CLRN1"
"3207","Clrn2","CLRN2"
"3208","Clrn3","CLRN3"
"3209","Clspn","CLSPN"
"3210","Clstn1","CLSTN1"
"3211","Clstn2","CLSTN2"
"3212","Clstn3","CLSTN3"
"3213","Clta","CLTA"
"3214","Cltb","CLTB"
"3215","Cltc","CLTC"
"3216","Cltrn","CLTRN"
"3217","Clu","CLU"
"3218","Cluap1","CLUAP1"
"3219","Cluh","CLUH"
"3220","Clvs1","CLVS1"
"3221","Clvs2","CLVS2"
"3222","Clybl","CLYBL"
"3223","Cma1","CMA1"
"3224","Cmah","CMAHP"
"3225","Cmas","CMAS"
"3226","Cmbl","CMBL"
"3227","Cmc1","CMC1"
"3228","Cmc2","CMC2"
"3229","Cmc4","CMC4"
"3230","Cmip","CMIP"
"3231","Cmklr1","CMKLR1"
"3232","Cmpk1","CMPK1"
"3233","Cmpk2","CMPK2"
"3234","Cmss1","CMSS1"
"3235","Cmtm1","CMTM1"
"3236","Cmtm2a","CMTM2"
"3237","Cmtm2b","CMTM2"
"3238","Cmtm3","CMTM3"
"3239","Cmtm4","CMTM4"
"3240","Cmtm5","CMTM5"
"3241","Cmtm6","CMTM6"
"3242","Cmtm7","CMTM7"
"3243","Cmtm8","CMTM8"
"3244","Cmtr1","CMTR1"
"3245","Cmtr2","CMTR2"
"3246","Cmya5","CMYA5"
"3247","Cnbd1","CNBD1"
"3248","Cnbd2","CNBD2"
"3249","Cnbp","CNBP"
"3250","Cndp1","CNDP1"
"3251","Cndp2","CNDP2"
"3252","Cnep1r1","CNEP1R1"
"3253","Cnfn","CNFN"
"3254","Cnga1","CNGA1"
"3255","Cnga2","CNGA2"
"3256","Cnga3","CNGA3"
"3257","Cnga4","CNGA4"
"3258","Cngb1","CNGB1"
"3259","Cngb3","CNGB3"
"3260","Cnih1","CNIH1"
"3261","Cnih2","CNIH2"
"3262","Cnih3","CNIH3"
"3263","Cnih4","CNIH4"
"3264","Cnksr1","CNKSR1"
"3265","Cnksr2","CNKSR2"
"3266","Cnksr3","CNKSR3"
"3267","Cnmd","CNMD"
"3268","Cnn1","CNN1"
"3269","Cnn2","CNN2"
"3270","Cnn3","CNN3"
"3271","Cnnm1","CNNM1"
"3272","Cnnm2","CNNM2"
"3273","Cnnm3","CNNM3"
"3274","Cnnm4","CNNM4"
"3275","Cnot1","CNOT1"
"3276","Cnot10","CNOT10"
"3277","Cnot11","CNOT11"
"3278","Cnot2","CNOT2"
"3279","Cnot3","CNOT3"
"3280","Cnot4","CNOT4"
"3281","Cnot6","CNOT6"
"3282","Cnot6l","CNOT6L"
"3283","Cnot7","CNOT7"
